Unnamed: 0.1,Unnamed: 0,ISBN,ID,title,authors,description,avg_rating,age,no_synset,synset,emotion_vector,lang,desc_length,genre_inferred
14433,14433,9782070400607,4642524,L'Ami retrouvé,"[Fred Uhlman, Léo Lack]","A daring novella about the loss of innocence in pre-war Germany.<br /><br /><i>Reunion </i>is the story of intense and innocent devotion between two young men growing up in ""the soft, serene, bluish hills of Swabia,"" and the sinister (but all too mundane) forces that end both their friendship and their childhood.<br /><br />The year is 1932. Hans Schwartz is Jewish, the son of a Stuttgart doctor who asserts that the rise of the Nazis is ""a temporary illness, something like measles which will pass off as soon as the economic situation improves."" The Holocaust would be unthinkable for these characters, but of course it looms over the story: Hans's friend, the young Count Konradin von Hohenfels, has a mother who keeps a portrait of Hitler on her dresser. The two boys share their most private thoughts and trips to the countryside of southwest Germany, discuss poetry and the past and present of their country, and argue the existence of a benevolent God.<br /><br />The eventual disintegration of this cherished relationship foreshadows the fate of Europe's Jews-- but Uhlman doesn't end his story with neat polarities. Years later, exiled in America, Hans comes upon a revelation about von Hohenfels which provides a stunning denouement and leaves the reader recalling Uhlman's haunting, lyrical descriptions of the vineyards, opera houses, and dark forests of Württemberg.",4.0,17.0,,,"{'Anger': 0.0736502253620177, 'Anticipation': 0.1731931080778697, 'Disgust': 0.06319726368954383, 'Fear': 0.16353930249656362, 'Joy': 0.15230316785474537, 'Sadness': 0.12001726177156921, 'Surprise': 0.04818911229741393, 'Trust': 0.20591055845027656}",en,1382,fiction
9180,9180,9780060937263,52628,Imajica,"[Clive Barker, Richard A. Kirk]","<strong>""Rich in plot twists, byzantine intrigues and hidden secrets, <em>Imajica</em> is a Chinese puzzle box constructed on a universal scale...Barker has an unparalleled talent for envisioning other worlds.""  — <em>Washington Post Book World</em></strong><br /><br />From master storyteller Clive Barker comes an epic tale of myth, magic, and forbidden passion<br /><br /><em>Imajica</em> is an epic beyond compare: vast in conception, obsessively detailed in execution, and apocalyptic in its resolution. At its heart lies the sensualist and master art forger, Gentle, whose life unravels when he encounters Judith Odell, whose power to influence the destinies of men is vaster than she knows, and Pie 'oh' pah, an alien assassin who comes from a hidden dimension.<br /><br />That dimension is one of five in the great system called Imajica. They are worlds that are utterly unlike our own, but are ruled, peopled, and haunted by species whose lives are intricately connected with ours. As Gentle, Judith, and Pie 'oh' pah travel the Imajica, they uncover a trail of crimes and intimate betrayals, leading them to a revelation so startling that it changes reality forever.",4.17,17.5,,,"{'Anger': 0.13548027242837013, 'Anticipation': 0.13371888210427432, 'Disgust': 0.04793917332080789, 'Fear': 0.17558125880695163, 'Joy': 0.16677430718647251, 'Sadness': 0.12834664161578205, 'Surprise': 0.05847815875998121, 'Trust': 0.15368130577736028}",en,1176,fiction
1813,1813,9781563897498,1208151,Gon: Introducing the Dinosaur That Time Will Never Forget!,[Masashi Tanaka],"Collecting the first two graphic novels featuring the bad tempered, runt tyrannasuarus in a single volume. Gon meets wild animals across the world, including penguins and world cubs, while showing his all-too-human personality.",4.63,16.5,,,"{'Anger': 0.32580830304189784, 'Anticipation': 0.0, 'Disgust': 0.07480390281232063, 'Fear': 0.21216759135259228, 'Joy': 0.0, 'Sadness': 0.08073464702506217, 'Surprise': 0.11211019705375931, 'Trust': 0.1943753587143677}",en,227,fiction
5212,5212,9780590031233,254947,Strangely Enough,"[C.B. Colby, David Lockhart]",Phantom ships ... ghostly people ... a vanishing city. Eighty incredible tales to fascinate and intrigue you.,4.02,17.0,,,"{'Anger': 0.0, 'Anticipation': 0.16999175597691676, 'Disgust': 0.0, 'Fear': 0.3366859027205277, 'Joy': 0.0, 'Sadness': 0.11459192085737839, 'Surprise': 0.37873042044517724, 'Trust': 0.0}",en,109,fiction
21785,21785,9780140380354,1923656,"Asmir in Vienna (Asmir, #2)","[Christobel Mattingley, Elizabeth Honey]","Sequel to 'No Gun for Asmir' which continues the true story of Asmir and his Muslim family, whose life has been torn apart by the war in Bosnia-Herzegovina. Asmir, his mother, grandmother and brother have fled Sarajevo for Vienna. Here, as refugees, they begin to learn about life in a new country, using a new language and Asmir starts school for the first time.",4.07,19.0,,,"{'Anger': 0.03719008264462809, 'Anticipation': 0.20583677685950413, 'Disgust': 0.0, 'Fear': 0.18407799586776857, 'Joy': 0.13662190082644626, 'Sadness': 0.11144111570247935, 'Surprise': 0.022210743801652888, 'Trust': 0.30262138429752067}",en,363,fiction
224,224,9780439042918,125712,"The Hork-Bajir Chronicles (Animorphs Chronicles, #2)","[K.A. Applegate, Katherine Applegate]","Dak Hamee, born into the Hork-Bajir tribe, is something special from the start. ""Strange,"" says his mother. ""A seer,"" says the Old One, Tila Fashat. ""A seer is one who is born to show a new way. Many, many seasons pass, then our father, the Deep, and our mother, the Sky, say, 'Send a seer to the people. The people have need.' And so one is born who is different."" When strange and different Dak meets Aldrea, the clever Andalite daughter of Prince Seerow, they learn together of the dangerous plot of the Yeerks, and of Esplin 9466, who will stop at nothing to build his empire. Learn more about Prince Seerow's Kindness, find out how Andalites kiss, and plumb the mysteries of the Deep in this suspense-filled story of good, evil, and interspecies love.",4.13,13.5,,,"{'Anger': 0.06349561053471667, 'Anticipation': 0.1878371907422187, 'Disgust': 0.024197924980047886, 'Fear': 0.1510614525139665, 'Joy': 0.19869114126097367, 'Sadness': 0.03195530726256983, 'Surprise': 0.10078212290502793, 'Trust': 0.24197924980047886}",en,756,fiction
3979,3979,9780679456582,2080942,The Man Who Listens to Horses,[Monty Roberts],"Monty Roberts is a real-life horse whisperer–an American original whose gentle Join-Up® training method reveals the depth of communication possible between man and animal. He can take a wild, high-strung horse who has never before been handled and persuade that horse to accept a bridle, saddle, and rider in thirty minutes. His powers may seem like magic, but his amazing “horse sense” is based on a lifetime of experience. In <i>The Man Who Listens to Horses</i>, Roberts reveals his unforgettable personal story and his exceptional insight into nonverbal communication, an understanding that applies to human relationships as well. He shows that between parent and child, employee and employer, abuser and abused, there are forms of communication far stronger than the spoken word that are accessible to all who will learn to listen. This new edition features engaging photographs, a chapter that traces Roberts’s amazing experience gentling with a mustang in the wild, and an Afterword about the remarkable impact this book has had on the world.",4.13,18.0,"{'Anger': 0.011440389549191058, 'Anticipation': 0.018404104926959527, 'Disgust': 0.009097334939002041, 'Fear': 0.01083826378344416, 'Joy': 0.07387821351903243, 'Sadness': 0.00818105659982198, 'Surprise': 0.04131106340646107, 'Trust': 0.17236504529032937, 'Objective': 0.6544845279857584}","{'Anger': 0.023755962546375357, 'Anticipation': 0.02819621930392792, 'Disgust': 0.013250103056357104, 'Fear': 0.02829044225899535, 'Joy': 0.07014899004770038, 'Sadness': 0.011966315293563394, 'Surprise': 0.05906601495789412, 'Trust': 0.1764324833637595, 'Objective': 0.5888934691714268}","{'Anger': 0.045764548409713814, 'Anticipation': 0.06348396966027152, 'Disgust': 0.02214927656319714, 'Fear': 0.049780100707502065, 'Joy': 0.17987124737076934, 'Sadness': 0.019918414175536997, 'Surprise': 0.15259098731595383, 'Trust': 0.46644145579705526}",en,1049,fiction
15852,15852,9780140440256,341280,The Three Musketeers,"[Alexandre Dumas, Arthur Paul John Charles James Gore Sudley]","Alexandre Dumas’s most famous tale— and possibly the most famous historical novel of all time— in a handsome hardcover volume.<br /><br />This swashbuckling epic of chivalry, honor, and derring-do, set in France during the 1620s, is richly populated with romantic heroes, unattainable heroines, kings, queens, cavaliers, and criminals in a whirl of adventure, espionage, conspiracy, murder, vengeance, love, scandal, and suspense. Dumas transforms minor historical figures into larger- than-life characters: the Comte d’Artagnan, an impetuous young man in pursuit of glory; the beguilingly evil seductress “Milady”; the powerful and devious Cardinal Richelieu; the weak King Louis XIII and his unhappy queen—and, of course, the three musketeers themselves, Athos, Porthos, and Aramis, whose motto “all for one, one for all” has come to epitomize devoted friendship. With a plot that delivers stolen diamonds, masked balls, purloined letters, and, of course, great bouts of swordplay, <i>The Three Musketeers </i>is eternally entertaining.",4.07,14.0,,,"{'Anger': 0.12827478729677366, 'Anticipation': 0.18858984078847613, 'Disgust': 0.05372335944739279, 'Fear': 0.12562126189874484, 'Joy': 0.22129559430545026, 'Sadness': 0.06286328026282538, 'Surprise': 0.07467778620166793, 'Trust': 0.14495408979866906}",en,1038,fiction
2165,2165,9780747267294,7495,Suzanne's Diary for Nicholas,[James Patterson],"Book editor Katie is in love with poet, Matt Harrison. He seems to share her feelings, but refuses to talk about his past. All she knows is that Matt was once married. One evening, he suddenly ends their relationship, leaving Katie devastated. A few days later, he sends her a notebook that he promises will explain everything. Katie opens the book to find it is the diary that Matt's wife, Suzanne, wrote for their baby son. It tells the story of her love for Matt and Nicholas, and reveals the tragedy that haunts Matt's life today. And Katie realises he needs her to understand his past if she is ever to be a part of his future.",4.17,19.0,,,"{'Anger': 0.02758861533088877, 'Anticipation': 0.09821896280775275, 'Disgust': 0.011262441068622314, 'Fear': 0.10843373493975902, 'Joy': 0.23533263488737557, 'Sadness': 0.16400384145276758, 'Surprise': 0.08691286886677142, 'Trust': 0.2682469006460625}",en,632,fiction
1657,1657,9780140620634,33532,Dracula,[Bram Stoker],"<b><i>Dracula</i> is a unique horror masterpiece and the most famous of all vampire tales.</b><br /><br />Few readers will ever forget the nightmare atmosphere of Count Dracula's sinister castle in Transylvania, the prowlings of the Un-dead, the blood-curdling tension as Bram Stoker's tale races towards a thrilling climax.<br /><br /><i>Dracula</i> recounts the struggle of a group of men and a woman - Dr Seward, Dr Van Helsing and Jonathan Harker and his wife Mina - to destroy the vampire, whose sinister earth-filled coffins are discovered by Harker in a ruined chapel adjoining Dr Seward's asylum. Cruel and noble, evilly and fatally desirable to women, Dracula possesses a terrifying lust for power and, like Dr Jekyll or Conan Doyle's Moriarty, is one of the immortal fictional monsters.",4.0,17.333333333333332,,,"{'Anger': 0.15829300051593248, 'Anticipation': 0.07657912193204432, 'Disgust': 0.11706753801931062, 'Fear': 0.2764906763629217, 'Joy': 0.10969707392575485, 'Sadness': 0.10662604722010662, 'Surprise': 0.06987199960690858, 'Trust': 0.08537454241702086}",en,796,fiction
