Unnamed: 0.1,Unnamed: 0,ISBN,ID,title,authors,description,avg_rating,age,no_synset,synset,emotion_vector,lang
31,31,9783704320193,4504259,Die letzte Nacht der Titanic,[Walter Lord],"First published in 1955, <i>A Night to Remember</i> remains a completely riveting account of the <i>Titanic</i>'s fatal collision and the behavior of the passengers and crew, both noble and ignominious. Some sacrificed their lives, while others fought like animals for their own survival. Wives beseeched husbands to join them in lifeboats; gentlemen went taut-lipped to their deaths in full evening dress; and hundreds of steerage passengers, trapped below decks, sought help in vain. <br />",4.03,17.0,,,"{'Anger': 0.13930880713489407, 'Anticipation': 0.12298773690078037, 'Disgust': 0.08918617614269787, 'Fear': 0.18595317725752505, 'Joy': 0.06412486064659977, 'Sadness': 0.1661092530657748, 'Surprise': 0.05052396878483834, 'Trust': 0.18180602006688962}",en
65,65,9780140385724,7840334,The Outsiders,[S.E. Hinton],"<i>Librarian note: This record is for one of the three editions published with different covers and with ISBN 0-140-38572-X / 978-0-14-038572-4. The records are for the <a href=""https://www.goodreads.com/book/show/231804.1988_cover"" title=""1988 cover"" rel=""nofollow"">1988 cover</a>, the <a href=""https://www.goodreads.com/book/show/17985531.1995_cover"" title=""1995 cover"" rel=""nofollow"">1995 cover</a>, and the <a href=""https://www.goodreads.com/book/show/7840334.2008_cover"" title=""2008 cover"" rel=""nofollow"">2008 cover</a> (this record) which is also the current in-print cover.<br /><br />The 2008 publication date for this edition is from the copyright page ""This edition published by Speak, an imprint of Penguin Group (USA) Inc., 2008"". The story ends on page 180 in this edition. Pages [182-186] are bonus material in this edition containing questions to the author about the book and her answers.</i><br /><br /><i>The Outsiders</i> is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.",4.1,16.272727272727273,,,"{'Anger': 0.10500193685841566, 'Anticipation': 0.12052101491380976, 'Disgust': 0.050188843695525856, 'Fear': 0.13802537284524502, 'Joy': 0.12611369358899863, 'Sadness': 0.1219010265349603, 'Surprise': 0.04992252566337401, 'Trust': 0.2883255858996708}",en
71,71,9780553211405,50201552,Jane Eyre,[Charlotte Brontë],"<p>Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard.<br /></p><p> But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?</p>",4.13,17.1,,,"{'Anger': 0.06427338320570139, 'Anticipation': 0.1338143508476827, 'Disgust': 0.036651763976804926, 'Fear': 0.17661900756938603, 'Joy': 0.18981010136780135, 'Sadness': 0.15094506661945023, 'Surprise': 0.03594351732991014, 'Trust': 0.21194280908326327}",en
73,73,9780553272536,231614,Night,"[Elie Wiesel, Robert McAfee Brown, François Mauriac, Stella Rodway]","""Night"" -- A terrifying account of the Nazi death camp horror that turns a young Jewish boy into an agonized witness to the death of his family...the death of his innocence...and the death of his God. Penetrating and powerful, as personal as ""The Diary Of Anne Frank,"" ""Night"" awakens the shocking memory of evil at its absolute and carries with it the unforgettable message that this horror must never be allowed to happen again.<br />--back cover",4.34,16.8125,,,"{'Anger': 0.1233117330105153, 'Anticipation': 0.10156899048161598, 'Disgust': 0.12867620878729616, 'Fear': 0.20771914833012892, 'Joy': 0.06503833463884735, 'Sadness': 0.16691590116072064, 'Surprise': 0.11403071518431483, 'Trust': 0.0927389684065608}",en
76,76,9780345339683,50734801,The Hobbit,[J.R.R. Tolkien],"Bilbo Baggins was a hobbit who wanted to be left alone in quiet comfort. But the wizard Gandalf came along with a band of homeless dwarves. Soon Bilbo was drawn into their quest, facing evil orcs, savage wolves, giant spiders, and worse unknown dangers. Finally, it was Bilbo–alone and unaided–who had to confront the great dragon Smaug, the terror of an entire countryside…<br /><br />--back cover",4.27,16.35135135135135,,,"{'Anger': 0.12431929871164828, 'Anticipation': 0.1781113029618807, 'Disgust': 0.0584849692300881, 'Fear': 0.30668083410811525, 'Joy': 0.049143312524903705, 'Sadness': 0.1563288617346261, 'Surprise': 0.044273254526940274, 'Trust': 0.08265816620179749}",en
79,79,9780553278835,941725,"Alas, Babylon",[Pat Frank],"""Alas, Babylon...""<br />Those fateful words heralded the end. In seconds, the unthinkable nightmare of nuclear war ravaged America. For millions it was instant death; for tens of millions more, it was a living nightmare of hunger, sickness and brutality. Overnight, a thousand years of civilization was stripped away, leaving only maked passions behind.<br /><br />But for one small Florida town, spared against all odds, the struggle was just beginning. ALAS, BABYLON is the classic story of a handful of men and women of all ages and races, who found the strength and courage to join together to push back the darkness.<br /><br />The classic apocalyptic novel that stunned the nation with its vivid portrayal of a small town's survival after nuclear holocaust devastates the country.",4.08,17.0,,,"{'Anger': 0.1510204081632653, 'Anticipation': 0.04892825054550122, 'Disgust': 0.09184957001668592, 'Fear': 0.2905917083814658, 'Joy': 0.08024643819792068, 'Sadness': 0.18960338852522138, 'Surprise': 0.03588756257219869, 'Trust': 0.11187267359774097}",en
82,82,9780380778553,636993,Rebecca,[Daphne du Maurier],"""Last night I dreamt I went to Manderley again.""<br /><br />So the second Mrs. Maxim de Winter remembered the chilling events that led her down the turning drive past the beeches, white and naked, to the isolated gray stone manse on the windswept Cornish coast. With a husband she barely knew, the young bride arrived at this immense estate, only to be inexorably drawn into the life of the first Mrs. de Winter, the beautiful Rebecca, dead but never forgotten...her suite of rooms never touched, her clothes ready to be worn, her servant -- the sinister Mrs. Danvers -- still loyal. And as an eerie presentiment of the evil tightened around her heart, the second Mrs. de Winter began her search for the real fate of Rebecca...for the secrets of Manderley.",4.23,16.454545454545453,,,"{'Anger': 0.1114653351257922, 'Anticipation': 0.196274246207029, 'Disgust': 0.06813904359516036, 'Fear': 0.14975993854426733, 'Joy': 0.1512579220280392, 'Sadness': 0.146648742077972, 'Surprise': 0.011983867870174766, 'Trust': 0.1644709045515652}",en
91,91,9780060812546,1037236,"Alas, Babylon",[Pat Frank],"<b>
  <i>Listening time 11 hours 11 minutes</i>
</b><br /><br />This true modern masterpiece is built around the two fateful words that make up the title and herald the end - ""Alas, Babylon."" When a nuclear holocaust ravages the United States, a thousand years of civilization are stripped away overnight, and tens of millions of people are killed instantly.<br /><br />But for one small town in Florida, miraculously spared, the struggle is just beginning, as men and women of all backgrounds join together to confront the darkness. Will Patton's narration paints this classic tale as an ominous picture of the terrible possibilities of the nuclear age.<br /><br />The day after the bomb dropped the thousands of years of ""progress"" that had covered the treacheries and lusts of ordinary man with a thin veneer of civilization were dissolved and melted like snow on the desert's dusty face. Then--<b>the law of the jungle reigned</b>. But in the wreckage a few courageous survivors, men and women with the guts to have hope, were determined to build a new and better world on the ruins of their old. <b>THIS IS THEIR STORY.</b>",4.08,16.5,,,"{'Anger': 0.1482936252414681, 'Anticipation': 0.10096587250482934, 'Disgust': 0.07763468555484007, 'Fear': 0.20676110753380553, 'Joy': 0.08931101094655504, 'Sadness': 0.1719896973599485, 'Surprise': 0.03839879802532732, 'Trust': 0.16664520283322598}",en
96,96,9780380717118,947711,The Rain Catchers,[Jean Thesman],"Beyond YesterdayEvery story should have a beginning, a middle, and an end. That's the way it is at grandmother's house where tea is served each day at four and tales of death and divorce, illness and abandonment are shared by grandmother's circle of friends. The women watch over one another and eveyone watches over Grayling -- whose own story has never been told her to hear.<br /><br />But in a summer of many changes, fourteen-year-old Grayling encounters love and romance, joy and saddness...and the need to know her own story -- from the very beginning.",4.05,16.0,,,"{'Anger': 0.10743368539869384, 'Anticipation': 0.10009675078610013, 'Disgust': 0.041885027815851, 'Fear': 0.18491493993388694, 'Joy': 0.20099975812303472, 'Sadness': 0.15210029831492378, 'Surprise': 0.0720793356446021, 'Trust': 0.14049020398290735}",en
101,101,9780425173756,1124499,"Murder on the Orient Express (Hercule Poirot, #10)",[Agatha Christie],"Just after midnight, a snowdrift stops the Orient Express in its tracks. The luxurious train is surprisingly full for the time of the year, but by the morning it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.<br /><br />Isolated and with a killer in their midst, detective Hercule Poirot must identify the murderer—in case he or she decides to strike again.",4.17,17.0,,,"{'Anger': 0.17301579539341777, 'Anticipation': 0.12039708543205044, 'Disgust': 0.0932074918088904, 'Fear': 0.15668247836080001, 'Joy': 0.04811971245537678, 'Sadness': 0.1804978238544672, 'Surprise': 0.13408968653723896, 'Trust': 0.09398992615775832}",en
105,105,9780060931391,941722,"Alas, Babylon",[Pat Frank],"<b>
  <i>Listening time 11 hours 11 minutes</i>
</b><br /><br />This true modern masterpiece is built around the two fateful words that make up the title and herald the end - ""Alas, Babylon."" When a nuclear holocaust ravages the United States, a thousand years of civilization are stripped away overnight, and tens of millions of people are killed instantly.<br /><br />But for one small town in Florida, miraculously spared, the struggle is just beginning, as men and women of all backgrounds join together to confront the darkness. Will Patton's narration paints this classic tale as an ominous picture of the terrible possibilities of the nuclear age.<br /><br />The day after the bomb dropped the thousands of years of ""progress"" that had covered the treacheries and lusts of ordinary man with a thin veneer of civilization were dissolved and melted like snow on the desert's dusty face. Then--<b>the law of the jungle reigned</b>. But in the wreckage a few courageous survivors, men and women with the guts to have hope, were determined to build a new and better world on the ruins of their old. <b>THIS IS THEIR STORY.</b>",4.08,16.0,,,"{'Anger': 0.1482936252414681, 'Anticipation': 0.10096587250482934, 'Disgust': 0.07763468555484007, 'Fear': 0.20676110753380553, 'Joy': 0.08931101094655504, 'Sadness': 0.1719896973599485, 'Surprise': 0.03839879802532732, 'Trust': 0.16664520283322598}",en
110,110,9780809015801,44027873,All But My Life: A Memoir,[Gerda Weissmann Klein],"<i>All But My Life</i> is the unforgettable story of Gerda Weissmann Klein's six-year ordeal as a victim of Nazi cruelty. From her comfortable home in Bielitz (present-day Bielsko) in Poland to her miraculous survival and her liberation by American troops—including the man who was to become her husband—in Volary, Czechoslovakia, in 1945, Gerda takes the reader on a terrifying journey. <br /><br />Gerda's serene and idyllic childhood is shattered when Nazis march into Poland on September 3, 1939. Although the Weissmanns were permitted to live for a while in the basement of their home, they were eventually separated and sent to German labor camps. Over the next few years Gerda experienced the slow, inexorable stripping away of ""all but her life."" By the end of the war she had lost her parents, brother, home, possessions, and community; even the dear friends she made in the labor camps, with whom she had shared so many hardships, were dead. <br /><br />Despite her horrifying experiences, Klein conveys great strength of spirit and faith in humanity. In the darkness of the camps, Gerda and her young friends manage to create a community of friendship and love. Although stripped of the essence of life, they were able to survive the barbarity of their captors. Gerda's beautifully written story gives an invaluable message to everyone. It introduces them to last century's terrible history of devastation and prejudice, yet offers them hope that the effects of hatred can be overcome.",4.28,17.5,,,"{'Anger': 0.1013781648980006, 'Anticipation': 0.08777401645683568, 'Disgust': 0.0827025724899522, 'Fear': 0.15694851216512626, 'Joy': 0.22158406552305604, 'Sadness': 0.14003524653556987, 'Surprise': 0.05692695852826697, 'Trust': 0.15265046340319252}",en
152,152,9780553582741,65948,From the Corner of His Eye,[Dean Koontz],"His birth was marked by wonder and tragedy. <br />He sees beauty and terror beyond our deepest dreams. <br />His story will change the way you see the world. <br />On the heels of his #1 bestseller False Memory, Dean Koontz brings together his most compelling themes and an unforgettable cast of characters to create what is perhaps the most thrilling and emotionally powerful work of his critically acclaimed career. <br />Bartholomew Lampion is born on a day of tragedy and terror that will mark his family forever. All agree that his unusual eyes are the most beautiful they have ever seen. On this same day, a thousand miles away, a ruthless man learns that he has a mortal enemy named Bartholomew. He embarks on a relentless search to find this enemy, a search that will consume his life. And a girl is born from a brutal rape, her destiny mysteriously linked to Barty and the man who stalks him. <br />At the age of three, Barty Lampion is blinded when surgeons remove his eyes to save him from a fast-spreading cancer. As he copes with his blindness and proves to be a prodigy, his mother counsels him that all things happen for a reason and that every person' s life has an effect on every other person' s, in often unknowable ways. <br />At thirteen, Bartholomew regains his sight. How he regains it, why he regains it, and what happens as his amazing life unfolds and entwines with others results in a breathtaking journey of courage, heart-stopping suspense, and high adventure.",4.03,17.333333333333332,,,"{'Anger': 0.10052241804925655, 'Anticipation': 0.15718468339169872, 'Disgust': 0.058843791262414596, 'Fear': 0.2014323439921924, 'Joy': 0.17977495837878177, 'Sadness': 0.09888627360927722, 'Surprise': 0.04327171479419025, 'Trust': 0.16008381652218842}",en
