model,shots,book,answer,ground_truth_age,predicted_age
gemma3:12b,0,"The Keeping Place (The Obernewtyn Chronicles, #4)",14-15,16-17,14-15
gemma3:12b,0,"The Keeping Place (The Obernewtyn Chronicles, #4)",14-15,16-17,14-15
gemma3:12b,0,"The Keeping Place (The Obernewtyn Chronicles, #4)",14-15,16-17,14-15
gemma3:12b,0,"The Keeping Place (The Obernewtyn Chronicles, #4)",14-15,16-17,14-15
gemma3:12b,0,"The Keeping Place (The Obernewtyn Chronicles, #4)",14-15,16-17,14-15
gemma3:12b,1,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,1,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,1,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,1,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,1,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,3,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,3,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,3,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,3,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,3,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,5,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,5,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,5,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,5,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,5,"The Keeping Place (The Obernewtyn Chronicles, #4)",16-17,16-17,16-17
gemma3:12b,0,The Scarlet Pimpernel,14-15,16-17,14-15
gemma3:12b,0,The Scarlet Pimpernel,16-17,16-17,16-17
gemma3:12b,0,The Scarlet Pimpernel,14-15,16-17,14-15
gemma3:12b,0,The Scarlet Pimpernel,14-15,16-17,14-15
gemma3:12b,0,The Scarlet Pimpernel,14-15,16-17,14-15
