model,shots,book,answer,ground_truth_age,predicted_age
gemma3:12b,0,Fear and Loathing in Las Vegas,16-17,18+,16-17
gemma3:12b,0,Fear and Loathing in Las Vegas,16-17,18+,16-17
gemma3:12b,0,Fear and Loathing in Las Vegas,16-17,18+,16-17
gemma3:12b,0,Fear and Loathing in Las Vegas,16-17,18+,16-17
gemma3:12b,0,Fear and Loathing in Las Vegas,16-17,18+,16-17
gemma3:12b,1,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,1,Fear and Loathing in Las Vegas,16-17,18+,16-17
gemma3:12b,1,Fear and Loathing in Las Vegas,16-17,18+,16-17
gemma3:12b,1,Fear and Loathing in Las Vegas,16-17,18+,16-17
gemma3:12b,1,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,3,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,3,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,3,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,3,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,3,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,5,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,5,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,5,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,5,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,5,Fear and Loathing in Las Vegas,18+,18+,18+
gemma3:12b,0,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,0,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,0,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,0,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,0,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,1,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,1,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,1,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,1,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,1,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,3,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,3,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,3,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,3,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
gemma3:12b,3,Endurance: Shackleton's Incredible Voyage,16-17,16-17,16-17
